model,region,count
skoda,leningradskaya_oblast,817
audi,leningradskaya_oblast,769
honda,leningradskaya_oblast,197
volvo,leningradskaya_oblast,338
bmw,leningradskaya_oblast,1322
nissan,leningradskaya_oblast,720
infiniti,leningradskaya_oblast,92
mercedes,leningradskaya_oblast,1269
toyota,leningradskaya_oblast,774
lexus,leningradskaya_oblast,145
volkswagen,leningradskaya_oblast,1242
mitsubishi,leningradskaya_oblast,575
skoda,moskovskaya_oblast,2277
audi,moskovskaya_oblast,2457
honda,moskovskaya_oblast,680
volvo,moskovskaya_oblast,985
bmw,moskovskaya_oblast,4886
nissan,moskovskaya_oblast,2716
infiniti,moskovskaya_oblast,554
mercedes,moskovskaya_oblast,4918
toyota,moskovskaya_oblast,2795
lexus,moskovskaya_oblast,765
volkswagen,moskovskaya_oblast,3622
mitsubishi,moskovskaya_oblast,1401
